 ,,,,,,,,,,,,,
,,,,,,Return to contents,,,,,,,
Method of delivery,,,,,,,,,,,,,
"Percentages are derived from the total excluding unknown; except for the proportion of unknowns, which are derived from the overall total.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3.a: Method of delivery by person conducting delivery,,,,,,,,,,,,,
"NHS Hospitals, England, 2024-25",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Person conducting delivery,,,,,,,,,,,
Method of delivery,Total deliveries,Unknown,Total excl.  unknown,Hospital Doctor,GP Other,Midwife,,,,,,,
,,Type of anaesthetic / analgesic used before or during delivery,,,,,,,,,,,
Method of delivery,Total  deliveries,Unknown,Total excl.  unknown,General,Epidural or  Caudal,Spinal,General and Epidural,General and Spinal,Epidural and Spinal,Other,Not Applicable,,
Total,542235,0.2862596475697806,387015,0.02499644716613051,0.18262341252923014,0.2599744195961397,0.002178210146893531,0.00284485097476842,0.03165510380734597,0.07334599434130461,0.42238156143818717,,
Spontaneous,232574,0.3025660649943674,162205,0.0032613051385592304,0.18044449924478284,0.009105761228075583,8.631053296754108e-05,0.0010172312814031627,0.00560401960482106,0.14526062698437162,0.6552202459850189,,
Spontaneous vertex delivery,229939,0.30292381892588904,160285,0.0032566990048975264,0.1806968836759522,0.00890913061109898,8.110553077331005e-05,0.0010294163521227812,0.00561499828430608,0.1454222166765449,0.6549895498643042,,
Spontaneous other delivery,1369,0.20306793279766253,1091,0,0.18698441796516957,0.0036663611365719525,0.0009165902841429881,0,0.006416131989000917,0.153987167736022,0.6480293308890925,,
Other Breech delivery,1266,0.3451816745655608,829,0.008443908323281062,0.12303980699638119,0.054282267792521106,0,0,0.0024125452352231603,0.10253317249698432,0.7092882991556092,,
Instrumental,57426,0.29082645491589176,40725,0.010288520564763658,0.44935543278084716,0.12267648864333947,0.0003192142418661756,0.0012277470841006752,0.05809699201964395,0.06934315531000614,0.28869244935543276,,
Low Forceps cephalic delivery ,17741,0.28718786990586775,12646,0.003795666613949075,0.47580262533607465,0.15364542147714694,0,0.0011070694290684802,0.06531709631504033,0.03416099952554167,0.2661711213031789,,
Other Forceps delivery,17424,0.2750803489439853,12631,0.019317552054469164,0.4716174491330853,0.20481355395455625,0.0004750217718312089,0.0016625762014092313,0.07829942205684427,0.05043147810941335,0.17338294671839127,,
Ventouse (vacuum) delivery,22175,0.30597519729425027,15390,0.008187134502923977,0.4101364522417154,0.029759584145549058,0.0004548408057179987,0.0009746588693957114,0.03580246913580247,0.11345029239766082,0.4012345679012346,,
Breech Extraction delivery,86,0.32558139534883723,58,0.017241379310344827,0.2413793103448276,0.13793103448275862,0,0,0,0.15517241379310345,0.4482758620689655,,
Caesarean,238052,0.27829213785223395,171804,0.04985914181276338,0.12018346487858257,0.5346615911154572,0.004604083723312612,0.005063910037018928,0.050674023887685965,0.006169821424413867,0.22878396312076552,,
Elective Caesarean delivery,105635,0.2829743929568798,75743,0.03519797208983008,0.006522054843351861,0.6482975324452425,0.0005809117674240524,0.00308939439948246,0.03374569267126995,0.0010562032134982771,0.27151023856990086,,
Other/Emergency Caesarean delivery,132417,0.2745568922419327,96061,0.06141930648233935,0.20980418692289274,0.44506095085414477,0.007776308803780931,0.006620793037757258,0.06402181946887915,0.010201850907236028,0.19509478352296977,,
Other methods of delivery,36,0.8055555555555556,7,0.14285714285714285,0.14285714285714285,0,0,0,0,0.5714285714285714,0.14285714285714285,,
Unknown,14147,0.1323955608963031,12274,0.012954212155776438,0.2004236597686166,0.1860844060615936,0.002036825810656673,0.0013035685188202706,0.021997718755092065,0.07625875835098582,0.49894085057845855,,
Source: NHS England,,,,,,,,,,,,,
Values shaded in grey should be treated with caution as these represent unlikely events i.e. general anaesthetic for non-caesarean deliveries and no anaesthetic for caesarean deliveries.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3.c: Method of delivery by ethnic group,,,,,,,,,,,,,
"NHS Hospitals, England, 2024-25",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Ethnicity,,,,,,,,,,,
Method of delivery,Total  deliveries,Unknown,Total excl.  unknown,Asian,Black,Chinese / Other,White,Mixed,Not Stated,,,,
Total,542235,8285,533950,92198,37380,23996,346637,15009,18730,,,,
Spontaneous,232574,3413,229161,35509,15569,9985,153747,6680,7671,,,,
Spontaneous vertex delivery,229939,3351,226588,35062,15405,9878,152064,6617,7562,,,,
Spontaneous other delivery,1369,30,1339,172,62,54,964,30,57,,,,
Other Breech delivery,1266,32,1234,275,102,53,719,33,52,,,,
Instrumental,57426,1070,56356,12284,2062,2820,35524,1403,2263,,,,
Low forceps cephalic delivery,17741,370,17371,3778,554,874,11127,416,622,,,,
Other forceps delivery,17424,259,17165,3390,573,700,11379,449,674,,,,
Ventouse (Vacuum) delivery,22175,436,21739,5106,927,1242,12964,536,964,,,,
Breech Extraction delivery,86,5,81,10,8,4,54,2,3,,,,
Caesarean,238052,3569,234483,42571,18876,10694,147385,6578,8379,,,,
Elective Caesarean delivery,105635,1334,104301,14929,6663,4634,71981,2656,3438,,,,
Other/Emergency Caesarean delivery,132417,2235,130182,27642,12213,6060,75404,3922,4941,,,,
Other,36,1,35,4,3,2,24,0,2,,,,
Unknown,14147,232,13915,1830,870,495,9957,348,415,,,,
Source: NHS England,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Ethnicity,,,,,,,,,,,
Method of delivery,Total deliveries,Unknown,Total excl.  unknown,Asian,Black,Chinese Other,White,Mixed,Not Stated,,,,
Total,542235,0.01527935304803268,533950,0.17267159846427568,0.07000655492087274,0.04494053750351156,0.6491937447326529,0.02810937353684802,0.03507819084183912,,,,
Spontaneous,232574,0.014674899171876478,229161,0.1549521951815536,0.06793913449496206,0.04357198650730273,0.6709125898385851,0.029149811704434873,0.03347428227316166,,,,
Spontaneous vertex delivery,229939,0.014573430344569647,226588,0.15473899765212631,0.06798683072360408,0.043594541635038044,0.6711035006266881,0.02920278214203753,0.03337334722050594,,,,
Spontaneous other delivery,1369,0.02191380569758948,1339,0.128454070201643,0.04630321135175504,0.040328603435399554,0.7199402539208365,0.022404779686333084,0.04256908140403286,,,,
Other Breech delivery,1266,0.02527646129541864,1234,0.22285251215559157,0.08265802269043761,0.04294975688816856,0.5826580226904376,0.02674230145867099,0.04213938411669368,,,,
Instrumental,57426,0.01863267509490475,56356,0.21797146710199447,0.03658882816381574,0.0500390375470225,0.630349918376038,0.024895308396621477,0.04015544041450777,,,,
Low forceps cephalic delivery,17741,0.02085564511583338,17371,0.2174889183121294,0.031892234183409134,0.05031374129295953,0.6405503425248978,0.02394795924241552,0.03580680444418859,,,,
Other forceps delivery,17424,0.01486455463728191,17165,0.19749490241771045,0.033381881736090885,0.040780658316341395,0.6629187299737839,0.02615787940576755,0.03926594815030585,,,,
Ventouse (Vacuum) delivery,22175,0.019661781285231116,21739,0.23487740926445558,0.04264225585353512,0.05713234279405677,0.5963475780854686,0.024656147936887623,0.0443442660655964,,,,
Breech Extraction delivery,86,0.05813953488372093,81,0.12345679012345678,0.09876543209876543,0.04938271604938271,0.6666666666666666,0.024691358024691357,0.037037037037037035,,,,
Caesarean,238052,0.014992522642111808,234483,0.18155260722525726,0.08050050536712683,0.045606717757790544,0.628553029430705,0.028053206415816923,0.03573393380330344,,,,
Elective Caesarean delivery,105635,0.012628390211577602,104301,0.14313381463264974,0.06388241723473409,0.04442910422718862,0.690127611432297,0.02546476064467263,0.03296229182845802,,,,
Other/Emergency Caesarean delivery,132417,0.016878497473889306,130182,0.21233350232751072,0.09381481310780292,0.04655021431534313,0.5792198614247746,0.03012705289517752,0.03795455592939116,,,,
Other,36,0.027777777777777776,35,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.6857142857142857,0,0.05714285714285714,,,,
Unknown,14147,0.016399236587262316,13915,0.13151275601868487,0.06252245777937478,0.03557312252964427,0.7155587495508444,0.02500898311174991,0.02982393100970176,,,,
Source: NHS England,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3.d: Method of delivery by duration of postnatal stay,,,,,,,,,,,,,
"NHS Hospitals, England, 2024-25",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Duration of postnatal stay,,,,,,,,,,,
Method of delivery,Total deliveries,Unknown,Total excl.  unknown,Same Day,1 Day,2 Days,3 Days,4 Days,5 Days,6 Days,7 Plus Days,,
Total,542235,106664,435571,60082,200257,88540,39213,17942,12594,6493,10450,,
Spontaneous,232574,41576,190998,50063,93376,25216,10798,4554,3154,1549,2288,,
Spontaneous vertex delivery,229939,41042,188897,49623,92440,24897,10635,4473,3101,1512,2216,,
Spontaneous other delivery,1369,223,1146,286,586,157,48,28,18,10,13,,
Other Breech delivery,1266,311,955,154,350,162,115,53,35,27,59,,
Instrumental,57426,11389,46037,3555,20410,11072,4997,2413,1800,811,979,,
Low forceps cephalic delivery,17741,3473,14268,920,5898,3741,1650,850,638,254,317,,
Other forceps delivery,17424,3655,13769,790,6095,3484,1581,714,552,268,285,,
Ventouse (Vacuum) delivery,22175,4238,17937,1840,8402,3837,1751,847,605,284,371,,
Breech Extraction delivery,86,23,63,5,15,10,15,2,5,5,6,,
Caesarean,238052,50487,187565,2619,82679,50714,22726,10643,7370,3972,6842,,
Elective Caesarean delivery,105635,23155,82480,873,46330,20286,7366,3073,1830,1042,1680,,
Other/Emergency Caesarean delivery,132417,27332,105085,1746,36349,30428,15360,7570,5540,2930,5162,,
Other,36,16,20,2,11,5,1,1,0,0,0,,
Unknown,14147,3196,10951,3843,3781,1533,691,331,270,161,341,,
Source: NHS England,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Duration of postnatal stay,,,,,,,,,,,
Method of delivery,Total  deliveries,Unknown,Total excl.  unknown,Same Day,1 Day,2 Days,3 Days,4 Days,5 Days,6 Days,7 Plus Days,,
Total,542235,0.1967117578171826,435571,0.13793847616117694,0.4597574218669287,0.20327340433591767,0.09002665466709216,0.04119190671555269,0.028913770659662833,0.014906869373764552,0.023991496219904446,,
Spontaneous,232574,0.1787646082537171,190998,0.2621126922795003,0.4888847003633546,0.1320223248410978,0.056534623399197896,0.023843181603995855,0.016513261918972972,0.008110032565786029,0.011979183028094535,,
Spontaneous vertex delivery,229939,0.1784908171297605,188897,0.2626987194079313,0.48936722128990934,0.13180198732642656,0.05630052356575276,0.023679571406639597,0.01641635388598019,0.008004362165624652,0.011731260951735602,,
Spontaneous other delivery,1369,0.16289262235208182,1146,0.24956369982547993,0.5113438045375218,0.13699825479930192,0.041884816753926704,0.02443280977312391,0.015706806282722512,0.008726003490401396,0.011343804537521814,,
Other Breech delivery,1266,0.2456556082148499,955,0.1612565445026178,0.36649214659685864,0.16963350785340314,0.12041884816753927,0.05549738219895288,0.03664921465968586,0.028272251308900525,0.061780104712041886,,
Instrumental,57426,0.19832480061296276,46037,0.0772204965571171,0.44333905337011537,0.2405022047483546,0.10854312835328106,0.052414362360709864,0.0390989855985403,0.017616265178008992,0.021265503833872754,,
Low forceps cephalic delivery,17741,0.1957612310467279,14268,0.06447995514437903,0.4133725820016821,0.2621951219512195,0.11564339781328847,0.05957387160078497,0.044715447154471545,0.017802074572469864,0.022217549761704515,,
Other forceps delivery,17424,0.20976813590449955,13769,0.05737526327256881,0.44266105018519863,0.25303217372358194,0.11482315346067253,0.05185561769191662,0.04009005737526327,0.019464013363352458,0.020698670927445713,,
Ventouse (Vacuum) delivery,22175,0.19111612175873732,17937,0.1025812566203936,0.46841723811116687,0.21391537046328818,0.09761944583821151,0.04722082845514858,0.03372916318224898,0.01583319395662597,0.02068350337291632,,
Breech Extraction delivery,86,0.26744186046511625,63,0.07936507936507936,0.23809523809523808,0.15873015873015872,0.23809523809523808,0.031746031746031744,0.07936507936507936,0.07936507936507936,0.09523809523809523,,
Caesarean,238052,0.2120839144388621,187565,0.013963159438061472,0.44080185535680966,0.27038093460933543,0.1211633300455842,0.05674299576146936,0.039293045077706396,0.021176658758297124,0.03647802095273638,,
Elective Caesarean delivery,105635,0.21919818242059924,82480,0.010584384093113483,0.5617119301648884,0.2459505334626576,0.08930649854510184,0.037257516973811834,0.022187196896217266,0.012633365664403491,0.020368574199806012,,
Other/Emergency Caesarean delivery,132417,0.2064085427097729,105085,0.01661512109244897,0.34590093733644195,0.2895560736546605,0.14616738830470571,0.07203692249131656,0.052719227292192035,0.027882190607603368,0.04912213922063092,,
Other,36,0.4444444444444444,20,0.1,0.55,0.25,0.05,0.05,0,0,0,,
Unknown,14147,0.22591362126245848,10951,0.3509268559948863,0.3452652725778468,0.1399872157793809,0.06309926034152132,0.03022555017806593,0.024655282622591545,0.014701853711989772,0.031138708793717468,,
Source: NHS England,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3.e: Method of delivery by duration of delivery episode,,,,,,,,,,,,,
"NHS Hospitals, England, 2024-25",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Delivery episode duration ,,,,,,,,,,,
Method of delivery,Total deliveries,Unknown,Total excl.  unknown,Same Day,1 Day,2 Days,3 Days,4 Days,5 Days,6 Days,7 Plus Days,,
Total,542235,0,542235,35675,171865,128104,78850,47737,29556,18478,31970,,
Spontaneous,232574,0,232574,28992,87057,53917,27940,15079,8210,4619,6760,,
Spontaneous vertex delivery,229939,0,229939,28764,86210,53340,27605,14856,8066,4524,6574,,
Spontaneous other delivery,1369,0,1369,132,514,345,164,94,55,33,32,,
Other Breech delivery,1266,0,1266,96,333,232,171,129,89,62,154,,
Instrumental,57426,0,57426,1097,10934,16096,11524,7032,4340,2746,3657,,
Low forceps cephalic delivery,17741,0,17741,239,2868,4899,3763,2287,1491,919,1275,,
Other forceps delivery,17424,0,17424,186,2775,4992,3700,2374,1324,912,1161,,
Ventouse (Vacuum) delivery,22175,0,22175,669,5279,6187,4047,2360,1517,908,1208,,
Breech Extraction delivery,86,0,86,3,12,18,14,11,8,7,13,,
Caesarean,238052,0,238052,2087,69814,55478,37831,24773,16447,10778,20844,,
Elective Caesarean delivery,105635,0,105635,1116,54574,25735,10295,4967,3051,1814,4083,,
Other/Emergency Caesarean delivery,132417,0,132417,971,15240,29743,27536,19806,13396,8964,16761,,
Other,36,0,36,5,13,9,4,1,3,1,0,,
Unknown,14147,0,14147,3494,4047,2604,1551,852,556,334,709,,
Source: NHS England,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Delivery episode duration ,,,,,,,,,,,
Method of delivery,Total  deliveries,Unknown,Total excl.  unknown,Same Day,1 Day,2 Days,3 Days,4 Days,5 Days,6 Days,7 Plus Days,,
Total,542235,0,542235,0.06579250693887337,0.3169566700784715,0.23625180963973186,0.14541665514029894,0.08803747452672735,0.054507731887465764,0.03407747563325864,0.05895967615517257,,
Spontaneous,232574,0,232574,0.12465709838589008,0.37431957140523014,0.23182728937886435,0.12013380687437117,0.06483527823402443,0.03530059249959153,0.019860345524435233,0.029066017697593025,,
Spontaneous vertex delivery,229939,0,229939,0.12509404668194607,0.37492552372585775,0.23197456716781406,0.12005357942758732,0.0646084396296409,0.03507886874344935,0.019674783312095816,0.02859019131160873,,
Spontaneous other delivery,1369,0,1369,0.09642074506939372,0.3754565376186998,0.252008765522279,0.1197954711468225,0.06866325785244703,0.04017531044558072,0.02410518626734843,0.02337472607742878,,
Other Breech delivery,1266,0,1266,0.07582938388625593,0.26303317535545023,0.18325434439178515,0.13507109004739337,0.1018957345971564,0.0703001579778831,0.04897314375987362,0.12164296998420221,,
Instrumental,57426,0,57426,0.019102845401037856,0.19040156026886776,0.2802911573155017,0.2006756521436283,0.12245324417511232,0.07557552328213701,0.04781806150524153,0.06368195590847352,,
Low forceps cephalic delivery,17741,0,17741,0.01347161941265994,0.16165943295191929,0.2761400146553182,0.2121075474888676,0.12891043345921877,0.08404261315596641,0.05180091313905642,0.07186742573699341,,
Other forceps delivery,17424,0,17424,0.010674931129476584,0.15926308539944903,0.2865013774104683,0.2123507805325987,0.13624885215794308,0.07598714416896235,0.05234159779614325,0.06663223140495868,,
Ventouse (Vacuum) delivery,22175,0,22175,0.03016910935738444,0.2380608793686584,0.2790078917700113,0.18250281848928973,0.10642615558060879,0.06841037204058624,0.04094701240135287,0.05447576099210823,,
Breech Extraction delivery,86,0,86,0.03488372093023256,0.13953488372093023,0.20930232558139536,0.16279069767441862,0.12790697674418605,0.09302325581395349,0.08139534883720931,0.1511627906976744,,
