,,,,,,,,,,,
,,,,,,,,,,,
"Summary Report 1: Summary of deliveries, 2014-15 to 2024-25 (HES)",,,,,,,,,,,
,,,,,,,,,,,
,Number of Deliveries,,,,,,,,,,
,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Total,636643,648107,636401,626203,603766,591759,559728,578562,547244,545149,542235
"Source: HES, NHS England",,,,,,,,,,,
,,,,,,,,,,,
"NHS England, NHS Maternity Statistics, 2024-25",,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,
,,,,,,,,,,,
Return to Contents,,,,,,,,,,,
